Khowar,English
 ا ݰاَکَ,cold
چھ ویوَمہ ا ݰاکَاریر۔,Last night I felt cold.
َََ ڈقوَ ا ݰ کما ݯ ھم وران۔,The boy's stomach is hurting. (The boy has
َََ ہے موشو ا ݰ کَماَ ݯ ھم وران۔,That man's stomach is hurting.
ا وغ اف بیران۔, The water is going
ا لوَ م دگالشٹہ جم بوئی۔,Potatoes grow well in Madaglasht.
رَوَڈقو الیکو نوَزوئیتائی۔َ,The girl refused to marry the boy.
 امبوہ , many
ام وَ,raw
حلوا ام وَ بیرائی۔َ,The halwa is not thoroughly cooked
َ ام وَ نو کوری کݰے، خائی۔َ,Plow without leaving any gaps
وریَشیٹی۔ , There are extremely beautiful flowers on the high mountain slopes.
مہَمییک انداؤَ ژوئی بیٹے اس ور۔,My uncle has a fever.
اوا ن ݰان انزیتام۔َ ََ,I sent a gift.
َََ مہ برارَ متے ا ستور انزیتائی۔,My brother sent me a horse.
انگار بوغد و بیرائی۔,The fire has gone out. (just observed now)
انگیک , to bring
ہݰَ کیہ پائَسہَانگیکوَََبیتائیا؟,Was s/he able to bring any
اواَ ہن ون گیٹےَََاسوم۔,I have come today.
اوچوہٹے, three days
وچوہٹےَ اوشوئی۔َ,Friday was three days before today.
وا۔,Would that I and my beloved were of like
گاز اوݯ بیٹےَََشیٹی۔,The grass has become green.
اوڑین , millet
اوڑیییَی وئے کہاک جم ائیکونَدریٹی۔,(By) eating millet
 ا وغَ uγ n,water
اونشَٹَ õšṭ ,eight
اَوَنشٹ انا چائی بیرائی۔َ,Tea was (once available at) eight annas
 اوہتیرَیَ, day before
 ری بویسےَ اوشوئیََ۔,It (had) rained the day before
دوسیَاوہڅَدوسیَموچیٹی۔َموچیٹی۔,Having caught a bear
اہٹےَ نوَہوتام۔,I didn't get enough to fill my stomach 
مہ ای برارَمہ سار لوٹ ا ی څیق۔,One of my brothers is older than me; the other is younger.
 ا ی کما ,(quantifier) a few
ا ی کماَ ژون ن وما گوئیَ۔,A few persons have not yet turned up.
کہاک ائی کونَدریتائی۔,The hen laid an egg.
شَََاپیر ائیہَََبیران۔,The wolf is going up (the slope/mountain).
ایواکانَ نیریی پلیتَائیََ۔,S/he pulled out the roots and burned them.
اییَبیر، بیرَماڑوئے۔,Proverb. A snake goes only to its own nest.
بار, load
َََ ا ی بارَدارو شورَ روپیا کونیان۔َ,They sell one (man's) load of wood
مَََݰَکیتائی۔َََ ) (,My in -law asked for five slaughtered
مان۔,I am cutting wood with an axe.
بارییکََ,  thin
بارییکَ پونیری چھویو کوسیری نوَبوئی۔,One can't walk on narrow paths
باز وَوَئ َََدرونگاوے۔,Stretch your arm a little this way.
پیرانو باز وَری ا سک وَردیردیَبویان۔,The sleeves of the shirt are going to be
بَائس تہ پلیر۔,The flame will burn you.
باؤ, bundle (of plant parts or products) 
باؤ جَوش بیشیرَروپیہ۔,A bundle of fodder is twenty
بپ لو کیہ پرائی چوڑیتائی۔,What the old man said was very amusing.
لیش وَ بݯھوڑو نیویریتائی۔َ,The cow weaned the
چَایجوش بخَہوئی۔,There is a hole in the teakettle.
 برار ,brother
برارو لوڑی اس پوسارو الوس۔,Look at the brother and (then) marry the
خبارَہوتام۔,When the sheep bleated I became alert.
بران , male sheep
انو بران ادراخہ ک ھل بیٹےَ اسوئی۔,Wild (male) sheep have become extinct on
بر وَ دَششیَ وَئیَََشیٹی۔,His/her eyebrows have grown too much.
بر وکَݯھومیکو اس پتالوت بغائی۔,When his kidney pained him he went to the
ہوئی۔,After hurting for a little while the wound
برونہ توری خ وَرَ۔َم وَڑی خ وَر۔,Lit. On top of the ridge is one thing; on the
بریژایو , sister -in-law 
بریژایگیٹی بوَع زت کوئی۔,Sisters -in-law pay one a lot of
اوبریتائی۔َََ,He died in a plane crash.
َََ بریک خبارَ کوری نوَ گوئی۔َ,Death does not inform one before coming.
کیرییانَََبرینیتائی۔,S/he sheared the sheep.
بَََڑانگ , open space/gap in a forest or hedge
اریر۔,The fox took the hen and escaped through a
ب ڑَڅ ڈقان فوجہ نوَََگانینیان۔,They don't take short boys in the army.
گَمبوریوَ بڑوکان چھینیکو مو الےکَ۔َ,Don't let anyone pick the buds of the flower.
پہلوانپہلوانَسفانتے بڑیتائی۔,The wrestler defeated all of them.
بزبار کہاکو اوائی۔,The eagle took away the hen.
بس , enough!
بس نوَژی بومان۔,That's enough - I don't want to eat (any
مہَسار بشار نو اریر۔,S/he didn't ask me.
بݰ, part
َََ ژوروَت بݰ اوائی۔,S/he took (her/his) daughter's share to
َ ݯھییےو جو بݰ اریٹی۔َ,They divided the field into two parts.
د شل نو کوریکو بݰ۔َ,(Verbal) abuse is not worthy of being done.
نومہَسارَبݰیکَنوَاریر۔َاریر۔,S/he didn't trust me.
بک ݯ ھم وَران۔,(My) throat is hurting.
بتھالو بلو باند ار وا؟,
بلپھاک کو ڑوچیو اوائی۔َ,A hawk took away the chicken.
بلپھاک کویان۔,Lightning is flashin
ب لخوَواغ لشٹووَسارکمَبوئی۔,The price of sloping land is less than that of
بو ل وَ مہ خوشَََنو۔,I don't like too much talking.
بوئی۔َ,After blooming a flower's seeds are formed.
 بوردیک , to grow
ننو جمَدیٹی اژیلَ ݰاؤ بارد وَر۔,If a baby nurses well it will grow
سَََاَؤزیئکوتَََجم۔,Birch wood is good for making plows.
بوڑیَکَ, to speak harshly
نو اویوئی۔َ,When s/he (one person) fried meat s/he
َََ ماللہ گیکوَ تت ژاوو بوڑیتائی۔َ,When the son came late his father become angry
شیر۔,The boundary between Pakistan and
بوسک ,  thick (of flat things like)
بوسکَ زپ یو مونوت جم۔,Thick clothes are good for winter.
ج وَ بسار ئ باݰیران۔,It has been raining for two days.
بوغ وَزو بخی بغَائیُُ۔,The frog went into a hole (and vanished).
 بول مو ژوَ ,earthquake
َہیہَسال ایَ دشَدوڑَ بولیم ژو اریر۔,This year there was a very severe earthquake.
کوئیَََبغائی۔,When it rained the drops fell on the earth
ھُمیر۔,If a bumblebee stings (you) it hurts severely.
بوم بوریݰ کوریکوَڈق بہ توئیتائی۔,When it thundered the boy became
ب وَؤ ان وَسو نوَََپاشیر۔,Owls can't see during the day.
بوؤَتَ ,evening meal
بوؤتَ ژَوئےَ ہاَتام۔,I have come after eating (my) evening
ہتوغو بوؤک پیڅیھ بغائی۔,His wife left (him) (temporarily).
بوؤلَ بیکو چھویوَسخت ا ݰاکَبوئی۔,When the Pleiades and the moon appear
ڑوووبوہتیییَیوووَپرائی۔َپرائی۔,He hit the fox with a stone.
 بوہتیریَََنیتائی۔,He threw a stone (at something).
بوہتوئیتائی۔َ,The boy saw the wolf and  was afraid
َََ شاپیر ریکوَ ڈقَ بوہتَوئیران۔َ,The boy is afraid of wolves.
بوئیکَ شَلیو اپھیٹی اواَئی۔,Lit. The birds pecked the rice and took it
 بوئیک , to plant
پھور دَو بوئیکَ مہَخوش۔,I love planting
ئرَ نوَََاژیتائی۔,The seed hasn't sprouted.
بیچو پوشاؤَ ئرَ اسور۔,S/he has gone to meet his/her
ہیہ سال بیرموغان الؤَََبو شیر۔,This year the walnut crop/yield is
مہ پھٹےَ بیرو پشاوراَاباد۔,Some of my relatives are settled in
چھویو بیری ن سیکوَنوَََبویان۔,S/he can't go out at night (e.g. because of
َ ئر ڑوئیری انگارو پھوئی۔,Blow the fire with a blowpipe.
َََ ڈوم بیریو بشیران۔ , The Dom (professional musician) is playing a flute.
ڈَقوَ بیریی اسوساَََنو؟َ,Have you swaddled the (baby) boy or
غیردیَ اݯرَ گیاؤ مہَ بیریارَاریر۔,Going and coming back repeatedly s/he has
ہنون کیاغ بیرییمیکوَََبیتاوا؟,Were you able to sell anything today?
 بیس , eggs or larva of insects
دریروَبیسَدریروَبیرائی۔َبیرائی۔,Flies have laid eggs on the meat 
بیشڈین ,damned accursed place/thing 
نوَہوتام۔,I have never been happy in this damned
بیشیر بٹیَ ژوَ مݰکیتائی۔,S/he asked for baṭis of grain.
نوَ بیک کیہ لو۔,Lit. What (kind of) utterance is not to be able.
بیکَ مݰکیسانا؟,Do you want to go?
بیلوَسورا توقَ مت انگتر۔,Bring me some mud with a spade.
بیہچیک , to remain
َ پخٹے بیہچیتائی۔,(Some) rice is left.
َ ا ستور بیہچیتائی۔,The horse is (so) tired (that it can't walk
پارویزیک ,  to conclude a function
َََ خوشانیوَ پارویزی تھے بوغیَ۔َ,Complete the celebration and then go.
َََ اوا مینوان پارویزیَ اݯر گوم۔َ,I will see off the guests and come back.
َََ دارانَ پازہَ ٹیپ کوری اوائی۔َ,S/he took away an armful of wood.
شیتائیََ۔,
پاٹ گانَ شخَزوا لو بوئی۔,Cooked eggplant is very tasty.
 پاٹ نگیری ,tomato
پاٹ نگیری گوغینیَہوئی۔,The tomatoes have been infested by bugs.
پاغیَکَ , to sharpen 
واژوَ پاغیَََاالوا؟,Have you sharpened the adze and brought it?
 پا لم , fine; small; change (money)
ژوؤ پا لم پیݰے۔,Grind the grain fine.
یور پچیران۔,The sun is roasting (me/us).
پچ ھمبیری نوغَ دوری بینیان۔ , On Thursday they are going to their new home.
پختوریَ ,sunny side of valley
پختوریَ ژغا نیامتَݰاؤ تریر۔,Crops ripen early/earlier in sunny places.
پخٹے , rice (hulled cooked) any whole boiled
ژیریاَ پخٹے پچیتائی۔,They cooked rice at the celebration.
 پران و , old
پرانو ختان یو غیریتائی۔,The old house collapsed.
پریچھیک , to throw away/out
کاغوکاغوَوارغانو پریچھیتائی۔,S/he threw out the carcass of the crow.
پڑغوچھیَکَ , to become entangled in
پڑغوچھیروَََبیرائی۔,The calf has got entangled (in ropes). (learned
پژالَ پایان ن ما انگوئی۔,The shepherd hasn't yet brought the goats.
ک ھریسَ ݱنگ،َمیری پستَشیر۔,The chair is high (but) the table is low.
َ پشہ کاَ گٹیَ االئی؟,Who brought you?
َ ق لم پساَ – مہ؟,Is the pen yours or mine?
پشائی چھوتیمانَ بیٹےَََشیر۔,(His/her/your) forehead is smudged with
پ شور نو پوݯر رو بیرائی۔,The meat is not fully cooked. (just observed)
پشیرَیَ , afternoon 
چورَ بجارواَچورَبجارَ اݯر نوَبوئی۔,The afternoon prayer cannot be said before
بو سَََوَن کہَہوئی پل من ڈوک گوئی۔,When spring comes the butterflies come.
 پ لوَݰ وَ, flea
س روزوَموڑا پ لوݰو بوئی۔,Beneath juniper trees there are usually fleas.
پلوغانَالؤ نییک۔,There is no fruit on the apple trees.
بوئی۔, Lit. In an anthill death is never
 پلیلَ ڈق لہازَہوئی۔,The poor little boy got sick.
 پنڈو رو,pinḍóru  round (of flat things)
کغاذو پنڈورو چھییی۔,Cut the paper round.
ٹییکَ پ چوران۔,Bread is cooking (being
پوݯ پو لوَئیکو خیر گویان۔,I smell burning feathers. (Lit. The smell of
پور بوݰیک نو بیٹےَ زمیری پو لوئیتائی۔,Since it didn't rain last year the land burnt
ماالن پر دََُوُمَژیر دو۔َ,A leopard ate the cattle 
پو رَََوَزیک , to be finished
ݰَپیکَََکورے۔,Sift the flour and make bread.
انوسو پوریکَ مہ کیہ خوشَنو۔,I don't like to sleep during the day.
پَوَیسیَََݯھیر تانَ مݰکیر۔,Cats want only milk.
چھویو ݯھوغوَ نوَپوشیتائی۔,They didn't see the thief at night 
ڈق پوݰَسیرینیاں۔,The boys are hauling manure 
پوݰپارَ شوَسَََاَؤَزَبوئی۔,From wool handloom cloth is made.
پو لوئیک , to burn
پخٹے پولوئیرو بیرائی۔,The rice is burned (just observed).
پویلَ ,  rotten; decomposed;chronically ill
َ پویلَ پلوغ تروق بوئی۔َ,A rotten apple is bitter.
َ پویلَ رویو کیہَزندگی۔َ,What life does a chronically ill person
زَپو ڈیکیپوَڈیکیَپولیتام۔َپولیتام۔,I wrapped the cloth around my leg. 
پون پونَََا ن شاؤ بغاتام۔,I went along sitting (i.e. resting) at many
ژیری مت کیہ پون نوَپرائی۔,I didn't enjoy the celebration
پونگ بوہتہ شییخیَََپرائی۔,(I) stubbed (my) toe on a rock (and it was
ٹ وَنجو پہانہَ بخَ بیٹےَََشیر۔,There is a hole in the bottom of the
قاقَہوتام۔َََ  ,I am completely dried out from thirst.
َ ا وغ پیارو گویان۔,I am feeling thirsty.
پیٹیک پر دوئیَ اسور۔,She is wearing a dupattah.
چائی پیݯ بیرائی۔َمہ پلیتائی۔,The tea was hot (learned upon drinking it); it burned me.
 پیڅھیَکَ , to leave; abandon; give up; fire
ت ھوئیک پیڅھیتائی۔,S/he fired a/the gun.
خلتوؤ پیشے روَشیرا؟,Is there (any) flour in the bag?
خوراَََپیݰیران۔,The mill is grinding.
اریر۔,The shirt was too short for the
گویان۔,S/he is coming back from Haj the day after
پینگاچھوئیَ غاڑَشیر۔,Tomorrow (afternoon) there is a polo
پھالَ بوہٹےَ ݯوگَ چھیتیَبغائی۔,The plowshare struck on a rock and broke.
 پھاَنَ , palm of hand
کو رم کوری پھان کوشَہوئی۔,Because of working (hard) (his/her/my) i am tired
پ ھرواَلَ ,shalwar
پ ھروالو پو ا تر وَݯیَ شیر۔َ,The cuff of the shalwar is torn.
مہ پ ھکوڑو گان اوائی۔,The wind took my hat. (i.e. blew it away)
پ ھنیکَ , blow up into the air;
َ گانَہیمو پ ھنیران۔,The wind is blowing the snow up into the air.
َََ دیہقان گومو پاللو پ ھنیران۔,The farmer is winnowing the stack of
 پش ور جم پھوخ بیٹےَ شیر۔,The meat has become nice and soft.
لیری پھوخ بیٹےَََشیرر۔,The knot has become loose.
پ ھوَر ,peak; top; head hair 
تونیݰوَزومو پ ھورا ئرَ ہالَ ہوئی۔,The ibex went to the mountain top and
پھور دوَݯوگَََشیٹی۔,The plants have taken root (and are
پھوست بوٹ لیری نو بویان۔,Leather shoes are not to be found. (i.e. not available)
 پ ھوَکَ , small;
پ ھوک کہَہوئیَ دی گانیسا؟,Even if there is only a little will you take it?
کہاکان ئے پھولوکَدراوے۔,Give grain to the hens.
پھونیک نو بیٹےَ شومو بہانہ۔,Proverb. He who doesn't know how to
ھَََوَئیَ اوائی۔َ,The wind blew away the soil.
َََ ژوؤ پ ھوئی پازگاہَکورے۔,Blow the grain and clean it. 
پیھ ,wooden shovel used for winnowing
ہیمیوَسوراَہیمَشیپیٹی۔َشیپیٹی۔,(People) remove snow with a snow
دار پو لوئی پھیروَہوئی۔,The wood burned and became ashes.
پھیکَ بیٹےَ کیائیَََبوسان؟,Why are you sitting so quietly?
گیرانَََبیرائی۔,It was (reportedly) difficult to obtain sugar
تاڑ تونجَہوئی۔,The keys are lost (i.e. got lost).
تزَََہَ / تازہ , healthy in good condition
کسیران۔,Having recovered
!کیہ تَاَئم کوری ا سویم,What rich food you have cooked! (ironic sense)
 تاؤ , cooking iron
تاؤ نو پیڅھیَاسوئی۔,They haven't yet put the cooking iron in
تائیَتائیکوریَ ڈقو اشٹوکاوے۔,Play with the child by saying tai tai
نن توݰو کیری تت یوَزو کیری۔,Proverb. A mother is (like) the (warm) shelter of ice.
 ت ݯ , n male goat (over four years old)
ژاؤ اژیکو ت ݯ کشے ژیریَاریر۔,When his son was born he slaughtered a goat
ترانگَ زپَمہَ دش۔َ,I don't like tight clothes.
کھانج بول موژیہ ت رَق بغائی۔,The wall cracked in the earthquake.
ت روپ , radish 
ت روپَشوروؤئے بزارا گوئی۔,Radishes come into the market in autumn.
پیری۔,The wooden dish is full of yogurt
تروقَژوڑیَمہ ا ݰکامو ݯ ھمیتائی۔,The bitter apricot gave me a stomach ache.
تروئیَ ژونَژی بونیان۔,Three people are eating.
شوت ترین نوَژیبوم۔,I don't eat sour yogurt.
 ت ݰ ,straw
تف کوریکوَڈق بوغاؤ اوغو ا تینیان۔,When they feel hot boys go and get in the water.
 تک , odd number; decorated buttons pinned on chogha; secret
تائیت کوراک تکَ ݰوائیَ مݰکیتائی۔,The amulet maker asked for an odd number of
?تو دیَََگوسانا؟,Do you also want to come?
بیرائی۔,When guests came to the fort people would fire
توخمیراَنَ , father of son -in-law or daughter -in-law
جمَموش۔ , The father of my son/daughter -in-law is a very góod man.
توریَ دورت و ئر اسور۔,S/he has gone to the upper house.
توریَکَ , to reach  arrive at (place); to touch  hit (target); to ripen (crop)
َََ شَامہ پت ئ نو توریتائی۔َ,S/he didn't reach here by evening.
َ تھوئیک نو توریتائی۔َ,The bullet (lit. rifle) didn't hit (its mark).
َََ گوم توریتائی۔َ,The wheat has ripened.
بوݰیکوَ سخت توقَ ہوئی۔,When it rained it became very muddy.
توئیَ ݰو, ibex
تونیݰوتونیݰوَ ݱنگ زوماَ ہالَََبوئی۔,Ibexes live on/in high mountains.
تیغ , sharp (knife) steep (mountain ridge)
تیغ دہارا گانَ مہَلوݰیتائی۔,On the steep ridge the wind tormented me.
تیری گانہَم رݯھو تھاغ ن ݰپوڑیتائی۔,In the strong wind (thin) branches of the
ت ھرارَروئی کو رمَ ہوݰ کوئی۔,An intelligent person understands how to work.
ََ تھریَشٹ و پوَ لوئیتائی۔َ,The onions dried up (for lack of water).
تروقَ بوئی۔َ , If one breaks the gall bladder meat becomes bitter.
دوس۔َ,Be careful lest you hit the gall bladder.
اوبریتائی۔َ,Lit. Its gall bladder swelled up from cold
ت ھس , water container with spout
ت ھسہ پیݯ ا وغَ متے انگتر۔,Bring me a pitcher of warm water.
 ت ھَفہ , quite 
ت ھل,   fat 
حیوانَہیٹہ ت ھل بوئی۔,Animals get fat when they graze free.
ت ھالخَمہ چموئیَ پرائی۔,The sickle hit (and cut) my finger.
لیشو ت ھَلیئکو نولیئکوَنوَبیتاؤ۔,You weren't able to fatten your cow.
ت ھما لوق , fondness 
پوشیو کیہ ت ھمالوق کوری اسوس۔,What a (spoiled) pet you have made of your cat.
 ت ھما موَ ,many
گونیان۔,Many people are visible.
ت ھمیری , good behavior
ت ھونَ , (physically) active
گتی۔,Look (carefully) and select/take/buy an
ہوئی۔َونَہوئی۔َََ,The father spoke to his son
تھونک ,thin
تھونکَ کغاذ متَ دیتَ۔َ,Give me a piece of thin paper.
بہتوئیتام۔َََ,I feared entering the ford 
َََ تھوہٹےَ دیٹے بوہتوئیتام۔َ,I got frightened when I entered the
تھوئَ یکو بچےَ دودیرَیَبوغی۔,Go far away to spit.
ت ھوئیک پیڅیک بند بیٹےَ شیر۔,Firing of guns has been prohibited.
ڈقانتے تھیئک نو بوئی۔,(The) boys can't stay still.
ٹاراَ تروقَبوئی۔,Mulberry wine is bitter.
جنالیہَروئی ٹ پ بیٹےَ اسوئی۔,The (polo) ground is full of people.
 ٹ ق ,thoughtlessness; haste
ٹ ق کوری لوَدیٹے تنَسوراَاَوَسیتاؤ۔,By speaking thoughtlessly you have made
ٹوقھیئَکَ , to cluck (of hen after laying an egg)
کہاکَٹوقھیران۔,The hen is clucking after laying an egg.
 ٹ َوَََنَ ,tight; full/thick
َََ شَمیٹی ٹ ونَ بیتیَشیر۔,The rope has been tied very tight.
َ کھوٹ ٹ ون بیٹےَََشیر۔,The clouds are very thick.
ٹونگ نو پوݯرَََشیر۔,The pear is not ripe.
ٹ ونگَ , having short ears (of animals)
سیر۔,Proverb. (Even) a short -eared sheep may
 ٹیک , top; upper/elevated part; elevated platform
َََ جیپو ٹیکہ ن یسیَ ہاتام۔َ,I came sitting on top of the jeep.
َ ا وغ ٹیکہ ا ولوئیتائی۔,Water spilled on the elevated platform of
ٹییک ,round loaf of bread; baked in closed metal vessel
ٹییک ا مو بیرائی۔,The bread is uncooked inside (learned on
دواہتہ کا ٹ ھخیران۔,Someone is knocking at the door.
ٹ ھریک ,to sip ; drink
چو غن,Make some soup which one can drink/sip
ٹ ھریئک , to cause to drink/sip; to give
ا وغَمہ ٹ ھراوے۔,Give me a sip of water.
ٹ ھشٹہ کیٹوریَ متے انگتر۔,Bring me some dried mulberries in the basin.
 ٹھورَ بیَکَ , to fall
اوا ژویو ٹیکہ ٹھورَہوتام۔,I fell on the bank of the water channel.
 ٹھوریئک , to cause to fall
ک ھرسیو ٹھوریتام۔,I overturned the chair (accidentally).
ٹھوَسَ ,  of nondescript dull color; i.e. those colors which do not fall clearly within
ٹھوسَ زپَݰاؤ ناغزی نو بوئی۔,Dull-colored clothes do not get dirty
سنجیر ٹ ھونانَسوَرا ٹھٹری ور۔,The main roof beam rests on the pillars.
ٹھون گُیو سورایوَسوراَدارَچھ ینیمان۔,I am cutting wood with a small axe.
اریتام۔,When they whispered I didn't understand.
رو گوئی۔,While cutting onions tears come from one's
ٹھینگو ڈیلَیرائی۔,S/he fell/rolled down the slope.
جَمار , son-in-law 
جائداد , jaidád n property 
جمارَدیَژاوو غون۔, twin
 مشیری جزیر بیٹےَ شیر جمیریی رَیَ, The machine is out of order.
 جَمیل ,  male or female children/
ارواہانَ دش بوئی۔,When one offends a jaméli the ancestral
جنجالَ مو کو رور۔,Don't quarrel.
جو  ,two
جوَروپیا چائی کاَ دویان؟,Who gives tea for two rupees?!
 جواب ,answer; reply
جوابَدیکو ل گیٹیَ نوَغیریتائی۔,Lit. His/her tongue did not move to
جوارائیَیسیُ توؤَ سو جم بوئی۔,Maize bread is good with buttermilk.
جواری پولوئیَ شیر۔,The maize (crop) is dried up (almost dead
جوا لو , both; two people 
جوالو گونیان۔,Two people are coming.
ژاؤ جوان کہَہوئیَ تتو بچویر۔,When a son grows up he lightens his father
جَََو خَوئیََ ,  of changeable; mood; fickle
جَََوَ خَََوَئیَ روئیَمہَ دش۔,I don't like people of changing mood/fickle people.
 جور ,together; joined as a pair (of people)
جور کوری باشیتائی۔,They sang a duet. (i.e. as a pair) 
جوش اَیَ  ,eleven
جوش ای ائی کَونَ کنیَتام۔,I bought eleven eggs.
جوشَت وݰَ , food/fodder for cattle and goats or sheep
جوشَََژیبونیان۔,They (cattle) are eating fodder.
 جوش ,ten
جوشیَوپیہَ مݰکیران۔,S/he is asking for ten rupees.
اوائی۔,Considering him old the girl didn’t marry
جوہجوَموشَ ݰپیکوتَہائی۔,Twelve men came for a meal.
 جیپ ,pocket 
جیپ بخ بیٹےَ پائسہ تونج ئر رو۔,When/because (my) pocket got a hole in it
ݮنݮال َکَ , bunch of grapes 
ݮنݮَال کَََبیرائی۔,The bunch of grapes wasn’t usable
رینیو ݮنݮیراَبوئے۔,Fasten the dog on a chain.
واؤ چاخراَََاسور۔,The old woman is (working) at the spinning
چار شنبیری بوک انگونیان۔,They are bringing the bride on Wednesday
چارہ , solution; recourse
ہالَََہوئی۔,Not finding any recourse/solution 
نو کوئی۔َ,Proverb. Lit. Both hands clap; one hand
چاڑَیَ ,  having (smallpox) scars on the face
ای چاڑی موش دیَپوشیتام۔,I also saw a man with a pockmarked
چاغیریو پھوستار سَاَََؤزیٹی۔,They make whips of leather./ Whips are
چا کو , knife 
چاکوَمہ چَموٹوَپ ھیرکیتائی۔,The knife cut my finger.
چائی نو ئرََََ کوکوَبیمیان؟,Why are you (plural) leaving without having
چٹی , loss
یچو ٹیکا چٹیَ ہائی۔َ,There was a loss on the contract for
َََ داران چٹی گانیتُام۔َ,I bought the wood without proper
ݯھییےارا ہالَیےاراَہالَبوئی۔َ –,Chickadees stay in Chitral even in
چدینہ ٹ پ پخٹے کو رَور۔َ,Cook a pot full of rice.
 چق,inclination; trend; tendency
چق۔َ,It is likely to rain tonight.
چلینیکیَ اسمانوت ت ھ لپ۔,Proverb. A sparrow desires the sky.
کوئیََ۔,When one drinks soup made of dried
شتیکھیر۔ , A person from Wakhan praises his own flint.
واہخیَََکویان۔,When one eats with a spoon 
جو چ ملتوخَدیکو پھیکَہوئی۔,When s/he was slapped twice
چ موٹو ځوخَدیکوَ ژری غ اریر۔,When a thorn pricked his/her finger s/he shrieked.
 چ مٹکیرَ , young (marriageable) girl
تہَژور چ مٹکیرَہویا؟,Has your daughter grown up?
چن بیٹے یوراَمو ن شی۔,Don't sit bare -skinned in the sun.
چنگیکو پون ا سکوردی۔َ,Proverb. The road of a lie is short. 
بوݰیکو ختان چوٹیتائی۔َ,When it rained the room
چورَ ژون پٹے کونیان۔,Four persons are playing cards.
چوڑَ سویکوَ غوش کرا بویان!,Lit. Where is the time to braid one’s hair?
چوڑیک , to warble; chirp; twitter
پیݯ چومریَموَدوےس۔َ,Don't touch the hot iron.
چھاغہ ن شیکوَمہ ا ݰاکَاریر۔,On sitting in the shade I felt cold.
چھائیَ ننوَدیران۔,The kid is suckling its mother.
چھت نݰپوڑیتائی۔,The bank of the pond broke (and the water flowed out)
 چ ھوݯر ,morning
  یَ روپ ھیتام,I got up early in the morning.
